District ID,Board Meeting URL Text,Board Meeting URL Link,Board Meeting Link Depth,youtube,vimeo,facebook,twitter,Agency Name,State Name,State Abbr,Agency ID,NumSchools,LowGrade,HighGrade,NumStudents,URL
1200390,,,,,,,,MIAMI-DADE,Florida,FL ,1200390,522,Prekindergarten,12th Grade,328589,https://www.dadeschools.net
7200030,,,,,,0,0,PUERTO RICO DEPARTMENT OF EDUCATION,Puerto Rico,PR ,7200030,851,Prekindergarten,12th Grade,259535,https://www.de.pr.gov
622710,Board Meeting Agendas,https://boe.lausd.net/lausdbdmtgagendas,0,0,2,0,0,LOS ANGELES UNIFIED,California,CA ,622710,778,Kindergarten,12th Grade,435958,https://www.lausd.net
1709930,Join Meeting,https://meet.google.com/riy-odxs-xmx,1,0,,0,0,CITY OF CHICAGO SD 299,Illinois,IL ,1709930,646,Prekindergarten,12th Grade,329836,https://www.cps.edu
1200180,Board Meetings & Workshops,https://www.browardschools.com/boardmeetings,0,0,,0,0,BROWARD,Florida,FL ,1200180,332,Prekindergarten,12th Grade,256037,https://www.browardschools.com
1200870,,,,,,,,HILLSBOROUGH,Florida,FL ,1200870,304,Prekindergarten,12th Grade,224149,https://www.sdhc.k12.fl.us
4823640,Board Meetings,https://www.houstonisd.org/domain/7947,0,0,,0,0,HOUSTON ISD,Texas,TX ,4823640,274,Prekindergarten,12th Grade,194607,https://www.houstonisd.org
1201500,Board Meetings,https://www.palmbeachschools.org/domain/255,0,0,,0,0,PALM BEACH,Florida,FL ,1201500,235,Prekindergarten,12th Grade,187943,https://www.palmbeachschools.org
5101260,School Board Regular Meeting and VHSL Recognitions,https://www.fcps.edu/event/school-board-regular-meeting-and-vhsl-recognitions,0,0,,0,0,FAIRFAX CO PBLC SCHS,Virginia,VA ,5101260,222,Prekindergarten,12th Grade,178479,https://www.fcps.edu
1201440,School Board Meeting,https://www.ocps.net/cms/one.aspx?portalid=54703&pageid=87628&objectid.25895=1899059&contextid.25895=152781&parentid.25895=152782&localstartdate=2023-06-13t16:45&localenddate=2023-06-13t18:00&ref=mestp9fg96fvsgzpwyeoglf9k1nazjxk85y3dmbyrdo%3d,0,0,,0,0,ORANGE,Florida,FL ,1201440,274,Prekindergarten,12th Grade,203224,https://www.ocps.net
1500030.0,,,,,,,,HAWAII DEPARTMENT OF EDUCATION,Hawaii,HI ,1500030.0,294.0,Prekindergarten,12th Grade,173178.0,https://www.hawaiipublicschools.org
3702970.0,,,,,,,,CHARLOTTE-MECKLENBURG SCHOOLS,North Carolina,NC ,3702970.0,180.0,Prekindergarten,13th Grade,143244.0,https://www.wearecms.com
