District ID,Board Meeting URL Text,Board Meeting URL Link,Board Meeting Link Depth,youtube,vimeo,facebook,twitter
5510740.0,Board Minutes,https://drive.google.com/drive/folders/0b8grpsxbwctfnfbeynfnekdwc2c?resourcekey=0-ybf_5lm_pfvhb-xyrsmana,0,0,,0,0
2624180.0,School Board,https://www.mapsk12.org/ourdistrict/schoolboard,0,1,,0,
4702070.0,Board Minutes,https://www.jacksoncoschools.com/apps/pages/index.jsp?urec_id=1394515&type=d&prec_id=1572795,0,,,0,0
2616080.0,Board of Education,https://www.godfrey-lee.org/our-district/board-of-education,0,,,0,0
4220640.0,,,,,,,
4819740.0,,,,,,,
5501140.0,Open Meetings Law Information,https://www.doj.state.wi.us/office-open-government/office-open-government-resources,1,0,,0,0
4217100.0,,,,,,,
2611030.0,Meetings of the Board,https://www.casdk12.net/district/board-of-education/meetings-of-the-board,0,0,,1,
3403390.0,Board of Education,https://www.closterschools.org/board-of-education,0,,,,0
5605160.0,IDEA,https://sites.ed.gov/idea/?src=search,1,,,,
2605780.0,Board of Education,https://www.brps.org/district-info/board-of-education,0,0,,0,
1906240.0,School Board Agendas & Minutes,https://simbli.eboardsolutions.com/sb_meetings/sb_meetinglisting.aspx?s=36030892,0,,,0,
4202550.0,Board Meetings,https://www.apolloridge.com/apps/pages/index.jsp?urec_id=827677&type=d&prec_id=1207453,0,,,0,0
2700108.0,Meeting Dates,https://www.pas.k12.mn.us/page/2976,1,0,,0,0
5503090.0,Public Informational Meetings,https://www.cumberland.k12.wi.us/about/public-information-meeting.cfm,0,0,,0,0
5511610.0,,,,,,,
3904858.0,,,,,,,
5508850.0,Meeting Agendas and Minutes,https://www.maustonschools.org/district/district-boe-agendas-minutes.cfm,0,0,,0,0
2636270.0,Board of Education,https://www.whiteford.k12.mi.us/board-of-education,0,,,0,0
4843230.0,Board,https://www.troupisd.org/apps/pages/index.jsp?urec_id=1580549&type=d&prec_id=1708337,0,,,0,0
2919230.0,Bullying Reporting Form,https://docs.google.com/forms/d/e/1faipqlsem_a3q2cvn68xgnzuhzlci4_izrbyl2yky4a7zowaugtj2ig/viewform,0,,,1,
5516440.0,Board Meeting Agendas,https://www.westfield.k12.wi.us/district/boardmeetingagendas.cfm,0,0,,0,
1803240.0,Board Minutes,https://drive.google.com/drive/folders/1qohizpd9hxb7o-sg79ao3ppqxojhx6iq,0,,,0,0
2624600.0,Board of Education,https://www.morleystanwood.org/districtinfo/boardofeducation,0,,,0,
2601920.0,Board Committees,https://www.addisonschools.org/board-of-ed/board-committees,0,,,0,
5501710.0,,,,,,,
4832490.0,School Board,https://newhomeisd.org/school_board.shtml,0,,,0,0
2601000.0,Board,https://www.baycityacademy.com/board,0,,,0,0
5514850.0,School Board,https://www.threelakessd.k12.wi.us/district/boardofeducation.cfm,0,1,,0,
1900025.0,Infinite Campus,https://iacloud1.infinitecampus.org/campus/portal/panorama.jsp,0,,,0,0
5507590.0,,,,,,,
4831290.0,REGULAR BOARD MEETING,https://www.moodyisd.org/apps/events/2023/8/14/10763386/?rec_id=10763386&id=0,0,,,,
2626400.0,Board Meetings and Workshops,https://onawayarea.schoolinsites.com/default.asp?pn=meetingschedule&l=1&divisionid=7874&lmid=317831,1,,,,
5504860.0,Minutes/Agendas,https://meetings.boardbook.org/public/organization/2070,0,0,,0,0
601913.0,Board of Directors,https://www.csmh.org/apps/pages/index.jsp?urec_id=769867&type=d&prec_id=1171752,0,,,0,0
2600113.0,Board of Directors,https://www.westmichiganacademy.org/about-us/board-of-directors,0,,,0,
640680.0,,,,,,,
5500052.0,,,,,,,
3700043.0,Board of Directors,https://exploris.org/board-of-directors,0,,,0,0
623430.0,,,,,,0.0,
2635730.0,Board of Education,https://www.webbervilleschools.org/district/board-of-education,0,,,,
2612990.0,Board Minutes,https://www.edwardsburgpublicschools.org/apps/pages/index.jsp?urec_id=703631&type=d&prec_id=1255216,0,0,,0,0
2680830.0,Board of Education,https://www.maisd.com/administrative-services/board-of-education,0,,,0,0
3622710.0,Board Meeting Schedule,https://www.penfield.edu/board_education.cfm?subpage=220412,0,,1,0,0
622890.0,,,,0.0,,0.0,0.0
5506000.0,Draft Minutes from the 2022 Annual Meeting,https://docs.google.com/document/d/1w1qjz3awna5rruhjdpliya3w2fvyvtgxsnfzkrhxyjg/edit?usp=sharing,1,0,,0,0
2618360.0,2023 Board Minutes,https://drive.google.com/drive/folders/0byy2jva0muurswxamfv3tu9eufk?resourcekey=0-alyyudtwyeppnzijqb9vcw,1,0,,0,
5515930.0,Board Minutes,https://docs.google.com/document/d/14v96lgy5xryt8bbodvefkcaj1ugmycurk97aicmzsne/edit?usp=sharing,1,,,0,
2680960.0,Board of Education,https://sjcisd.org/your-isd/board-of-education,0,,,,
2700341.0,MNIC School Board Meeting,https://www.mnic.org/apps/events/2023/8/14/11521307/?rec_id=11521307&id=0,0,0,,0,
5510470.0,Board Meetings,https://www.nbexcellence.org/district/board-meetings.cfm,0,0,1,0,0
602383.0,Board of Directors,https://www.agapeschools.org/board-of-directors-agendas--minutes-archive.html,0,,,0,0
406810.0,Board Meeting Notices,https://www.qcusd.org/governing-board,0,0,,0,0
602308.0,Board of Directors,https://www.agapeschools.org/board-of-directors-agendas--minutes-archive.html,0,,,0,0
